artist_name,genre_summary,genre_mode
Dr. Lonnie Smith,Jazz,Jazz
DragonForce,Classical,Classical
Dragony,Classical,Classical
Drake,"Hip-Hop,Pop",Hip-Hop
Drake Bell,Pop,Pop
Dramadigs,Jazz,Jazz
Drax Project,Pop,Pop
Dread Mar I,Alternative,Alternative
Dream Evil,Classical,Classical
Dreezy,"Pop,R&B",R&B
Drew Holcomb & The Neighbors,Folk,Folk
Drips Zacheer,Jazz,Jazz
Drive-By Truckers,Folk,Folk
Drowning Pool,Alternative,Alternative
Dru Hill,"Hip-Hop,R&B",R&B
Drugdealer,Folk,Folk
Drumma Battalion,Hip-Hop,Hip-Hop
Dry the River,Folk,Folk
DuRu Tha King,Hip-Hop,Hip-Hop
Dua Lipa,Pop,Pop
Duane Allman,Blues,Blues
Duane Andrews,Jazz,Jazz
Duane Eddy,Blues,Blues
Duckwrth,"Alternative,Hip-Hop,R&B",Alternative
Duffy,Pop,Pop
Duke Dumont,Pop,Pop
Duke Ellington,Jazz,Jazz
Duke Robillard,Blues,Blues
Duki,Hip-Hop,Hip-Hop
Duran Duran,Pop,Pop
Dust,Blues,Blues
Dustin Tebbutt,Folk,Folk
Dusty Springfield,Folk,Folk
Dwele,R&B,R&B
Dylan Schneider,Pop,Pop
Dynamic Duo,R&B,R&B
Dzihan & Kamien,Jazz,Jazz
E-40,Hip-Hop,Hip-Hop
EARTHGANG,"Hip-Hop,Pop",Hip-Hop
EDEN,"Pop,R&B",Pop
ELHAE,"Alternative,R&B",R&B
ELO,R&B,R&B
EXID,Pop,Pop
EXO,Pop,Pop
EXO-K,Pop,Pop
EZI,Pop,Pop
Eagles,Folk,Folk
Eagles Of Death Metal,"Blues,Alternative",Blues
Earl Hooker,Blues,Blues
Earl King,Blues,Blues
Earl Klugh,Jazz,Jazz
Earl Sweatshirt,"Alternative,Hip-Hop,Pop",Hip-Hop
Earshot,Alternative,Alternative
Earth,Jazz,Jazz
"Earth, Wind & Fire",Jazz,Jazz
Eartha Kitt,Jazz,Jazz
Easy Life,Alternative,Alternative
Eazy-E,"Hip-Hop,Pop",Hip-Hop
Eberhard Weber,Jazz,Jazz
Ebo Taylor,Jazz,Jazz
Echo & the Bunnymen,Alternative,Alternative
Echosmith,Pop,Pop
Ed Prosek,Folk,Folk
Ed Sheeran,Pop,Pop
Ed Thigpen,Jazz,Jazz
Eddie Berman,Folk,Folk
Eddie Boyd,Blues,Blues
Eddie Floyd,Blues,Blues
Eddie Griffin,Comedy,Comedy
Eddie Izzard,Comedy,Comedy
Eddie Kendricks,Jazz,Jazz
Eddie Money,Folk,Folk
Eddie Murphy,Comedy,Comedy
Eddie Palmieri,Jazz,Jazz
Eddie Taylor,Blues,Blues
Edguy,Classical,Classical
Edie Brickell & New Bohemians,Folk,Folk
Edita Gruberova,Opera,Opera
Editors,Alternative,Alternative
Edmund Welles,Classical,Classical
Edo. G,"Alternative,Hip-Hop,Jazz",Alternative
Edoardo Catemario,Classical,Classical
Eduard Künneke,Opera,Opera
Edvard Grieg,Classical,Classical
Edward Elgar,Classical,Classical
Edward Sharpe & The Magnetic Zeros,Folk,Folk
Edwin Raphael,Folk,Folk
Eels,Alternative,Alternative
Egypt Central,Alternative,Alternative
Ekali,Pop,Pop
El Bebeto,Pop,Pop
El Costeño,Comedy,Comedy
El Fantasma,Pop,Pop
El Gran Combo De Puerto Rico,Jazz,Jazz
El Gran Silencio,Alternative,Alternative
El Jazzy Chavo,Jazz,Jazz
El Michels Affair,Jazz,Jazz
El Tri,Alternative,Alternative
Elan Trotman,Jazz,Jazz
Elastica,Alternative,Alternative
Elder Island,R&B,R&B
Eldissa,Jazz,Jazz
Electric Guest,"Alternative,Pop",Alternative
Electric Light Orchestra,Folk,Folk
Electric Wire Hustle,Jazz,Jazz
Elefante,Alternative,Alternative
Elena Kats-Chernin,Classical,Classical
Eleni Karaindrou,Classical,Classical
Elephante,Pop,Pop
Eli Sostre,R&B,R&B
Eli Young Band,Pop,Pop
Eliane Elias,Jazz,Jazz
Elias Dummer,Alternative,Alternative
Elijah Blake,"Alternative,R&B",Alternative
Elina,Pop,Pop
Elina Garanca,Opera,Opera
Elisabeth Schwarzkopf,Opera,Opera
Elizabeth Cotten,Blues,Blues
Elizabeth Mitchell,Folk,Folk
Ella Eyre,Pop,Pop
Ella Fitzgerald,"Blues,Jazz",Jazz
Ella Henderson,Pop,Pop
Ella Mae Morse,Blues,Blues
Ella Mai,"Pop,R&B",R&B
Ella Vos,Pop,Pop
Elle Varner,Alternative,Alternative
Ellen Andersson Quartet,Jazz,Jazz
Ellen DeGeneres,Comedy,Comedy
Elley Duhé,R&B,R&B
Elli Ingram,R&B,R&B
Ellie Goulding,"Pop,R&B",R&B
Elliot Root,Folk,Folk
Elliott Smith,"Alternative,Folk",Folk
Elly Ameling,Opera,Opera
Elmore James,Blues,Blues
Elujay,R&B,R&B
Eluveitie,Folk,Folk
Elvenking,Classical,Classical
Elvin Bishop,Blues,Blues
Elvis Costello,Folk,Folk
Elvis Costello & The Attractions,Folk,Folk
Emahoy Tsegué-Maryam Guébrou,"Folk,Jazz",Folk
Emancipator,Jazz,Jazz
Emapea,Jazz,Jazz
Emeli Sandé,R&B,R&B
Emerson Leif,Alternative,Alternative
"Emerson, Lake & Palmer",Jazz,Jazz
Emil Brandqvist Trio,Jazz,Jazz
Emilie-Claire Barlow,Jazz,Jazz
Emily Heller,Comedy,Comedy
Emily King,"Alternative,R&B",R&B
Emilíana Torrini,Folk,Folk
Eminem,Hip-Hop,Hip-Hop
Emma Kirkby,Opera,Opera
Emmanuel Pahud,Classical,Classical
Emmerich Kálmán,Opera,Opera
Emmylou Harris,Folk,Folk
Emotional Oranges,"Alternative,R&B",Alternative
Empire Cast,R&B,R&B
Empire of the Sun,"Alternative,Pop",Alternative
Empress Of,"Alternative,R&B",Alternative
En Vogue,R&B,R&B
Engelbert Humperdinck,Opera,Opera
England Dan,Folk,Folk
English Chamber Orchestra,Classical,Classical
Enrico Caruso,Opera,Opera
Enrico Pieranunzi,Jazz,Jazz
Enrique Granados,Classical,Classical
Enrique Iglesias,Pop,Pop
Era Istrefi,Hip-Hop,Hip-Hop
Erato,Folk,Folk
Eric B. & Rakim,"Alternative,Hip-Hop",Alternative
Eric Bellinger,"Pop,R&B",R&B
Eric Benét,R&B,R&B
Eric Bibb,Blues,Blues
Eric Burdon,Blues,Blues
Eric Clapton,Blues,Blues
Eric Darius,Jazz,Jazz
Eric Essix,Jazz,Jazz
Eric Gales,Blues,Blues
Eric Hutchinson,Folk,Folk
Eric Idle,Comedy,Comedy
Eric Johnson,"Classical,Blues",Classical
Eric Lau,Jazz,Jazz
Eric Lindell,Blues,Blues
Eric Marienthal,Jazz,Jazz
Eric Whitacre,Classical,Classical
Erich Wolfgang Korngold,Classical,Classical
Erik Satie,Classical,Classical
Erik Söderlind,Jazz,Jazz
Erik Truffaz,Jazz,Jazz
Erikka Innes,Comedy,Comedy
Erin McCarley,Folk,Folk
Ernest Bloch,Classical,Classical
Ernest John Moeran,Classical,Classical
Ernie K-Doe,Blues,Blues
Ernst Krenek,Classical,Classical
Erroll Garner,Jazz,Jazz
Erthlings,Alternative,Alternative
Erutan,Folk,Folk
Erykah Badu,"Hip-Hop,R&B",R&B
Eryn Allen Kane,"Alternative,R&B",R&B
Es-K,Jazz,Jazz
Esbjörn Svensson Trio,Jazz,Jazz
Escape the Fate,"Alternative,Pop",Alternative
Ese Wey,Comedy,Comedy
Esperanza Spalding,"Jazz,R&B",Jazz
Esther Phillips,"Blues,Jazz",Blues
Estugarda,Jazz,Jazz
Etta Bond,R&B,R&B
Etta James,"Blues,Jazz",Blues
Etta Jones,Jazz,Jazz
Ettore Bastianini,Opera,Opera
Euge Groove,Jazz,Jazz
Eugene McDaniels,Jazz,Jazz
Eugene Mirman,Comedy,Comedy
European Jazz Trio,Jazz,Jazz
Eurythmics,Pop,Pop
Eva Cassidy,"Folk,Jazz",Folk
Evanescence,Alternative,Alternative
Evans Blue,Alternative,Alternative
Eve,"Hip-Hop,R&B",Hip-Hop
Eve 6,"Alternative,Pop",Alternative
Everclear,"Alternative,Pop",Alternative
Everette Harp,Jazz,Jazz
Evergrey,Classical,Classical
Everything Is Recorded,Alternative,Alternative
Evgeny Kissin,Classical,Classical
Ex:Re,Folk,Folk
Eyolf Dale,Jazz,Jazz
Ezra Collective,Jazz,Jazz
Ezra Furman,Alternative,Alternative
F1rstman,Hip-Hop,Hip-Hop
FARR,Alternative,Alternative
FINNEAS,Pop,Pop
FKA twigs,R&B,R&B
FLETCHER,Pop,Pop
FRENSHIP,Pop,Pop
Fabiano Do Nascimento,Jazz,Jazz
Fabio Biondi,Opera,Opera
Fabolous,"Hip-Hop,Pop,R&B",R&B
Faces,"Blues,Folk",Blues
Fair To Midland,Alternative,Alternative
Fairport Convention,Folk,Folk
Faith Evans,"Hip-Hop,R&B",R&B
Faith Hill,Pop,Pop
Faith No More,Alternative,Alternative
Fake Problems,Folk,Folk
Falconer,Classical,Classical
Fall Out Boy,Pop,Pop
Falling In Reverse,Pop,Pop
Family Force 5,Alternative,Alternative
Family of the Year,Folk,Folk
Famous Dex,"Hip-Hop,Pop",Hip-Hop
Fania All Stars,Jazz,Jazz
Fantasia,R&B,R&B
Fantastic Negrito,Blues,Blues
Farnell Newton,Jazz,Jazz
Fastball,Pop,Pop
Fat Freddy's Drop,Jazz,Jazz
Fat Joe,"Hip-Hop,Pop",Hip-Hop
Fat Nick,Hip-Hop,Hip-Hop
Fates Warning,Classical,Classical
Father John Misty,"Folk,Pop",Folk
Fatima,"Jazz,R&B",Jazz
Fats Domino,Blues,Blues
Fattburger,Jazz,Jazz
Faun,Folk,Folk
Fazıl Say,Classical,Classical
Federico Aubele,Jazz,Jazz
Federico Mompou,Classical,Classical
Federico Moreno Torroba,Classical,Classical
Fedora Barbieri,Opera,Opera
Feist,"Folk,Pop",Folk
Felicia Michaels,Comedy,Comedy
Felicity Lott,Opera,Opera
Felipe Esparza,Comedy,Comedy
Felipe Peláez,Pop,Pop
Felivand,Alternative,Alternative
Felix Jaehn,Pop,Pop
Felix Mendelssohn,Classical,Classical
Felly,Hip-Hop,Hip-Hop
Fenech-Soler,Alternative,Alternative
Fenne Lily,Folk,Folk
Feqadu Amde-mesqel,Jazz,Jazz
Ferdinand Hérold,Opera,Opera
Ferdinand Ries,Classical,Classical
Fergie,"Pop,R&B",R&B
Fernando Sor,Classical,Classical
Ferruccio Busoni,Classical,Classical
Fetty Wap,"Hip-Hop,Pop",Hip-Hop
Fever Ray,Alternative,Alternative
Field Mob,Hip-Hop,Hip-Hop
Fifth Harmony,"Pop,R&B",R&B
Filmore,Pop,Pop
Filter,Alternative,Alternative
Finger Eleven,Alternative,Alternative
Fink,Folk,Folk
Fiona Apple,Folk,Folk
Fiona Boyes,Blues,Blues
Fionn Regan,Folk,Folk
Firefall,Folk,Folk
Fireflight,Alternative,Alternative
Firewind,Classical,Classical
First Aid Kit,Folk,Folk
Fitz and The Tantrums,Pop,Pop
Five Finger Death Punch,Alternative,Alternative
Five For Fighting,Pop,Pop
Flamin' Groovies,Blues,Blues
Flatbush Zombies,Hip-Hop,Hip-Hop
Flatpocket,Jazz,Jazz
Fleet Foxes,"Folk,Pop",Folk
Flight Facilities,Alternative,Alternative
Flipp Dinero,Hip-Hop,Hip-Hop
Flitz&Suppe,Jazz,Jazz
Flo Rida,"Hip-Hop,Pop",Hip-Hop
FloFilz,Jazz,Jazz
Floating Points,Jazz,Jazz
Floetry,R&B,R&B
Florence + The Machine,"Alternative,Folk,Pop",Folk
Florence Beatrice Price,Classical,Classical
Florida Georgia Line,Pop,Pop
Florilegium,Opera,Opera
Floyd Taylor,Blues,Blues
Flughand,Jazz,Jazz
Flume,Pop,Pop
Flunk,Jazz,Jazz
Flying Lotus,"Alternative,Hip-Hop",Alternative
Flyleaf,Alternative,Alternative
Foals,Pop,Pop
Foghat,Blues,Blues
Fonseca,Pop,Pop
Foo Fighters,Alternative,Alternative
Foreign Air,Alternative,Alternative
Forever The Sickest Kids,Pop,Pop
Forndom,Folk,Folk
Fort Knox Five,Jazz,Jazz
Fort Minor,Pop,Pop
Foster The People,Pop,Pop
Fountains Of Wayne,Alternative,Alternative
Four Tet,"Alternative,Jazz",Jazz
Four Tops,Folk,Folk
Four Year Strong,Alternative,Alternative
Fourplay,Jazz,Jazz
Foxing,Alternative,Alternative
Foxwarren,Folk,Folk
Foxygen,"Folk,Pop",Folk
Foy Vance,Folk,Folk
Fozzy,Alternative,Alternative
Fractures,Folk,Folk
Framing Hanley,Alternative,Alternative
Fran Hevia,Comedy,Comedy
Franc Moody,Alternative,Alternative
Frances,Folk,Folk
Frances Cone,Folk,Folk
Francesca Battistelli,Alternative,Alternative
Francesco Araia,Opera,Opera
Francesco Cavalli,Opera,Opera
Francesco Cilea,Opera,Opera
Francesco Nicola Fago,Opera,Opera
Francis Poulenc,Classical,Classical
Francis and the Lights,"Alternative,R&B",R&B
Franco Corelli,Opera,Opera
Franco De Vita,Pop,Pop
Franco Escamilla,Comedy,Comedy
Frank Black,Alternative,Alternative
Frank Caliendo,Comedy,Comedy
Frank Ocean,"Alternative,Hip-Hop,Pop,R&B",Alternative
Frank Ticheli,Classical,Classical
Frank Turner,Folk,Folk
Frank Zappa,Jazz,Jazz
Frankie Boyle,Comedy,Comedy
Frankie Cosmos,"Folk,Pop",Folk
Frankie Goes To Hollywood,Pop,Pop
Frankie J,R&B,R&B
Frankie Lymon,Blues,Blues
Frankie Lymon & The Teenagers,Blues,Blues
Frankie Ruiz,Jazz,Jazz
Frankie Valli,Folk,Folk
Frankie Valli & The Four Seasons,"Folk,Pop",Folk
Franz Berwald,Classical,Classical
Franz Danzi,Classical,Classical
Franz Ferdinand,Alternative,Alternative
Franz Joseph Haydn,Classical,Classical
Franz Lehár,Opera,Opera
Franz Liszt,Classical,Classical
Franz Schubert,Classical,Classical
Franz von Suppé,Classical,Classical
François Couperin,Classical,Classical
Freak Nasty,Hip-Hop,Hip-Hop
Fred Astaire,Jazz,Jazz
Fred Hersch,Jazz,Jazz
Fred Raymond,Opera,Opera
Freddie Gibbs,"Alternative,Hip-Hop",Alternative
Freddie Hubbard,Jazz,Jazz
Freddie Jackson,R&B,R&B
Freddie Joachim,Jazz,Jazz
Freddie King,Blues,Blues
Freddy Cannon,Blues,Blues
Frederick Delius,Classical,Classical
Fredrik Kronkvist,Jazz,Jazz
Fredrika Stahl,Jazz,Jazz
Free,Blues,Blues
Free The Robots,Jazz,Jazz
Free Throw,Alternative,Alternative
Freedom Call,Classical,Classical
Freedom Dub,Jazz,Jazz
Freedom Hawk,Blues,Blues
Freeway,Hip-Hop,Hip-Hop
French Montana,"Hip-Hop,Pop",Hip-Hop
Freya Ridings,"Folk,Pop",Folk
Friedrich Gulda,Classical,Classical
Friedrich von Flotow,Opera,Opera
Frightened Rabbit,Folk,Folk
Frijid Pink,Blues,Blues
Fritz Kreisler,Classical,Classical
From Ashes to New,Alternative,Alternative
Fromental Halévy,Opera,Opera
Fruit Bats,"Folk,Pop",Folk
Fruko Y Sus Tesos,Jazz,Jazz
Frvrfriday,Hip-Hop,Hip-Hop
Frédéric Chopin,Classical,Classical
Fuego,Hip-Hop,Hip-Hop
Fuel,Pop,Pop
Fugazi,Alternative,Alternative
Fugees,"Hip-Hop,Pop",Hip-Hop
Fukkit,Hip-Hop,Hip-Hop
Funkadelic,Jazz,Jazz
Funkee Boy,Jazz,Jazz
Funkmaster Flex,Hip-Hop,Hip-Hop
Funky DL,Jazz,Jazz
Future,"Hip-Hop,Pop",Hip-Hop
Future Islands,Alternative,Alternative
Future Leaders of the World,Alternative,Alternative
Futurebirds,Alternative,Alternative
Futuristic,"Hip-Hop,Pop",Hip-Hop
G Herbo,Hip-Hop,Hip-Hop
G Mills,Jazz,Jazz
G-Eazy,"Hip-Hop,Pop",Hip-Hop
G-Unit,Hip-Hop,Hip-Hop
G.R.L.,Pop,Pop
G.Soul,R&B,R&B
GALNERYUS,Classical,Classical
GASHI,Pop,Pop
GATTÜSO,Pop,Pop
GAWVI,"Hip-Hop,Pop",Hip-Hop
GNAR,Hip-Hop,Hip-Hop
GOT7,Pop,Pop
GRAACE,"Alternative,Pop",Alternative
GZA,"Alternative,Hip-Hop,Pop",Alternative
Gabbie Hanna,Pop,Pop
Gabby Barrett,Pop,Pop
Gabriel Fauré,Classical,Classical
Gabriel Garzón-Montano,"Alternative,Jazz,R&B",Jazz
Gabriel Iglesias,Comedy,Comedy
Gabriel Jackson,Classical,Classical
Gabriel Kahane,Classical,Classical
Gabrielle Aplin,Folk,Folk
Gadiel,Hip-Hop,Hip-Hop
Gaelic Storm,Folk,Folk
Gaetano Donizetti,Opera,Opera
Gail Jhonson,Jazz,Jazz
Galactic,Blues,Blues
Galantis,Pop,Pop
Galaxie 500,Folk,Folk
Galina Grigorjeva,Classical,Classical
Gallant,"Alternative,R&B",R&B
Gang Chen,Classical,Classical
Gang Gang Dance,Folk,Folk
Gang Starr,"Alternative,Hip-Hop",Hip-Hop
Garbage,Alternative,Alternative
Garrett Kato,Folk,Folk
Gary Burton,Jazz,Jazz
Gary Clark Jr.,Blues,Blues
Gary Gulman,Comedy,Comedy
Gary Hoey,"Classical,Blues",Blues
Gary Moore,Blues,Blues
Gary Puckett & The Union Gap,Folk,Folk
Gary U.S. Bonds,Blues,Blues
Gary Wright,Folk,Folk
Gavin DeGraw,Pop,Pop
Gavin James,Pop,Pop
Gavin Mikhail,Pop,Pop
Gavin Turek,R&B,R&B
Gemaine,R&B,R&B
Geminiano Giacomelli,Opera,Opera
Gene Ammons,Jazz,Jazz
Gene Chandler,Blues,Blues
Gene Pitney,Folk,Folk
Generationals,"Alternative,Folk",Alternative
Gente De Zona,Hip-Hop,Hip-Hop
Gentle Bones,Pop,Pop
Georg Philipp Telemann,Classical,Classical
George Antheil,Classical,Classical
George Benjamin,Classical,Classical
George Benson,Jazz,Jazz
George Butterworth,Classical,Classical
George Carlin,Comedy,Comedy
George Duke,Jazz,Jazz
George Ezra,Pop,Pop
George Formby,Comedy,Comedy
George Frideric Handel,Classical,Classical
George Gershwin,Classical,Classical
George Harrison,Folk,Folk
George Howard,Jazz,Jazz
George London,Opera,Opera
George Lopez,Comedy,Comedy
George Michael,Pop,Pop
George Ogilvie,"Folk,Pop",Folk
George Shearing,Jazz,Jazz
George Thorogood & The Destroyers,Blues,Blues
George White Group,Jazz,Jazz
Georges Bizet,"Classical,Opera",Opera
Georges Prêtre,Opera,Opera
Georgia,Alternative,Alternative
Georgs Pelēcis,Classical,Classical
Gerald Albright,Jazz,Jazz
Gerald Finzi,Classical,Classical
Gerald Levert,R&B,R&B
Gerard Way,Pop,Pop
Germ,Hip-Hop,Hip-Hop
Gerry Mulligan,Jazz,Jazz
Gerry Rafferty,"Folk,Pop",Folk
Get Scared,Pop,Pop
Getatchew Mekurya,Jazz,Jazz
Geto Boys,Hip-Hop,Hip-Hop
Getter,Hip-Hop,Hip-Hop
Ghostemane,Hip-Hop,Hip-Hop
Ghostland Observatory,Alternative,Alternative
Giacomo Meyerbeer,Opera,Opera
Giacomo Puccini,"Classical,Opera",Opera
Gianfranco Masini,Opera,Opera
Gidon Kremer,Classical,Classical
Gift Of Gab,Alternative,Alternative
Gil Scott-Heron,Jazz,Jazz
Gilad Hekselman,Jazz,Jazz
Gilbert Gottfried,Comedy,Comedy
Gillian Welch,"Alternative,Folk",Folk
Gin Blossoms,Alternative,Alternative
Gin Wigmore,Pop,Pop
Gina Sicilia,Blues,Blues
Ginuwine,"Hip-Hop,Pop,R&B",R&B
Gioachino Rossini,"Classical,Opera",Opera
Giovanni Battista Pergolesi,Classical,Classical
Giovanni Battista Sammartini,Classical,Classical
Giovanni Felice Sances,Opera,Opera
Giovanni Guidi,Jazz,Jazz
Giovanni Guidi Trio,Jazz,Jazz
Giovanni Paisiello,Classical,Classical
Giovanni Pierluigi da Palestrina,Classical,Classical
Giovanni Porta,Opera,Opera
Girlpool,Folk,Folk
Girma Bèyènè,Jazz,Jazz
Giuseppe Di Stefano,"Classical,Opera",Opera
Giuseppe Giordani,Opera,Opera
Giuseppe Maria Orlandini,Opera,Opera
Giuseppe Pietri,Opera,Opera
Giuseppe Sarti,Opera,Opera
Giuseppe Verdi,"Classical,Opera",Opera
Giya Kancheli,Classical,Classical
Gladys Knight & The Pips,Pop,Pop
Glass Animals,Pop,Pop
Gleemer,Alternative,Alternative
Glen Campbell,"Folk,Pop",Folk
Glenn Astro,Jazz,Jazz
Glenn Fredly,Jazz,Jazz
Glenn Frey,Folk,Folk
Glenn Gould,Classical,Classical
Glenn Jones,Folk,Folk
Glenn Miller,Jazz,Jazz
Glenn Wool,Comedy,Comedy
Global Dan,Hip-Hop,Hip-Hop
GlobulDub,Jazz,Jazz
Gloc 9,Alternative,Alternative
Gloria Rodríguez,Comedy,Comedy
Gnarls Barkley,Hip-Hop,Hip-Hop
Go Radio,Pop,Pop
GoGo Penguin,Jazz,Jazz
Godsmack,Alternative,Alternative
Godspeed You! Black Emperor,Jazz,Jazz
Gojira,Alternative,Alternative
Gold Spectacles,Alternative,Alternative
GoldFish,Jazz,Jazz
GoldLink,"Alternative,Hip-Hop,Pop,R&B",Alternative
Golden Vessel,R&B,R&B
Gone West,Pop,Pop
Good Charlotte,"Alternative,Pop",Alternative
Good Morning,Pop,Pop
Good Old War,Folk,Folk
Goodbye June,"Blues,Alternative",Blues
Goody Grace,Pop,Pop
Goon Twinn,Hip-Hop,Hip-Hop
Gordon Goodwin's Big Phat Band,Jazz,Jazz
Gordon Lightfoot,Folk,Folk
Gorilla Zoe,Hip-Hop,Hip-Hop
Gorillaz,"Alternative,Hip-Hop,Pop",Alternative
Gossip,Alternative,Alternative
Gota,Jazz,Jazz
Gotan Project,Jazz,Jazz
Gov't Mule,Blues,Blues
Gowe,Jazz,Jazz
Grace,R&B,R&B
Grace Carter,"Folk,R&B",R&B
Grace Grundy,Pop,Pop
Grace Potter & The Nocturnals,Blues,Blues
Grace VanderWaal,Pop,Pop
Graham Nash,Folk,Folk
Gram Parsons,Folk,Folk
Gramatik,Jazz,Jazz
Grand Funk Railroad,Blues,Blues
Grandaddy,Folk,Folk
Grandmaster Flash & The Furious Five,Hip-Hop,Hip-Hop
Granger Smith,Pop,Pop
Grant Green,Jazz,Jazz
Grateful Dead,Folk,Folk
Graveyard,Blues,Blues
Great Big Sea,Folk,Folk
Great Lake Swimmers,Folk,Folk
Greeicy,"Pop,R&B",R&B
Green Assassin Dollar,Jazz,Jazz
Green Day,Pop,Pop
Greg Behrendt,Comedy,Comedy
Greg Brown,Folk,Folk
Greg Giraldo,Comedy,Comedy
Greg Howe,Classical,Classical
Greg Laswell,Folk,Folk
Greg Proops,Comedy,Comedy
Greg Warren,Comedy,Comedy
Gregg Allman,"Blues,Folk",Blues
Gregg Karukas,Jazz,Jazz
Gregorio Allegri,Classical,Classical
Gregory Alan Isakov,"Folk,Pop",Folk
Gregory Porter,Jazz,Jazz
Greta Van Fleet,Blues,Blues
Gretchen Parlato,Jazz,Jazz
Grey,Pop,Pop
Greyboy,Jazz,Jazz
Greyson Chance,Pop,Pop
Grimes,Pop,Pop
Grinderman,Blues,Blues
Grizfolk,"Alternative,Pop",Alternative
Grizzly Bear,"Alternative,Folk",Folk
Groove Armada,Jazz,Jazz
Group Home,Hip-Hop,Hip-Hop
Grouplove,"Alternative,Folk,Pop",Folk
"Grover Washington, Jr.",Jazz,Jazz
Grupo Codiciado,Pop,Pop
Grupo Maximo Grado,Pop,Pop
Gryffin,Pop,Pop
Gucci Mane,"Hip-Hop,Pop",Hip-Hop
Guillaume Dufay,Classical,Classical
Guillaume de Machaut,Classical,Classical
Guitar Shorty,Blues,Blues
Guitar Slim,Blues,Blues
Gungor,Alternative,Alternative
Gunna,"Hip-Hop,Pop",Hip-Hop
Guordan Banks,R&B,R&B
Guru Griff,Jazz,Jazz
Guru Randhawa,Hip-Hop,Hip-Hop
Guru's Jazzmatazz,Jazz,Jazz
Gus G.,Classical,Classical
Gus Viseur,Jazz,Jazz
Gustav Holst,Classical,Classical
Gustav Mahler,Classical,Classical
Gustave Charpentier,Opera,Opera
Gustavo Bertoni,Folk,Folk
Gustavo Cerati,Alternative,Alternative
Gustavo Santaolalla,Classical,Classical
Guster,Folk,Folk
Guthrie Govan,Classical,Classical
Guts,Jazz,Jazz
Guy,"Hip-Hop,R&B",R&B
Guy Clark,"Alternative,Folk",Folk
Guy Davis,Blues,Blues
Gwen McCrae,Jazz,Jazz
Gwen Stefani,"Pop,R&B",Pop
Gym Class Heroes,Pop,Pop
Gypsy Jazz Caravan,Jazz,Jazz
Gypsy Swing Revue,Jazz,Jazz
Gyptian,Hip-Hop,Hip-Hop
Gyyps,Hip-Hop,Hip-Hop
György Kurtág,Classical,Classical
György Ligeti,Classical,Classical
Gábor Szabó,Jazz,Jazz
H ZETTRIO,Jazz,Jazz
H-Town,R&B,R&B
H.E.R.,"Pop,R&B",R&B
H.I.N.P (Hot Issue of Ntl. Producers),Pop,Pop
HAIM,"Folk,Pop",Folk
HEIZE,R&B,R&B
HELLYEAH,Alternative,Alternative
HONNE,R&B,R&B
HRVY,Pop,Pop
HYUKOH,R&B,R&B
Hablot Brown,"Alternative,R&B",R&B
Hafliði Hallgrímsson,Classical,Classical
Hailee Steinfeld,Pop,Pop
Hailu Mergia,Jazz,Jazz
Hair of the Dog,Folk,Folk
Haken,"Classical,Jazz",Classical
Hal Sparks,Comedy,Comedy
Halestorm,Alternative,Alternative
Haley & Michaels,Pop,Pop
Haley Heynderickx,"Folk,Pop",Folk
Half Moon Run,Folk,Folk
Halloran & Kate,Pop,Pop
Halsey,Pop,Pop
Hamish Anderson,Blues,Blues
Hammerfall,Classical,Classical
Hamzaa,R&B,R&B
Hand Habits,Folk,Folk
Handbook,Jazz,Jazz
Handsome Boy Modeling School,Alternative,Alternative
Handsome Ghost,Folk,Folk
Hanging Valleys,Folk,Folk
Hank Crawford,Jazz,Jazz
Hank Mobley,Jazz,Jazz
Hank Williams,Folk,Folk
Hannah Kerr,Alternative,Alternative
Hannah Montana,Pop,Pop
Hannah Wicklund & The Steppin Stones,Blues,Blues
Hanni El Khatib,Blues,Blues
Hannibal Buress,Comedy,Comedy
Hans Pfitzner,"Classical,Opera",Opera
Hanson,Pop,Pop
Hariprasad Chaurasia,Classical,Classical
Harland Williams,Comedy,Comedy
Harlem,Folk,Folk
Harlem Jazz Guitar Quartet,Jazz,Jazz
Harley Poe,Folk,Folk
Harold Budd,Classical,Classical
Harrison Storm,"Folk,Pop",Folk
Harry Chapin,Folk,Folk
"Harry Connick, Jr.",Jazz,Jazz
Harry Nilsson,Folk,Folk
Harry Styles,Pop,Pop
Harvey Danger,"Alternative,Pop",Alternative
Harvey Sutherland,Jazz,Jazz
Hasan Minhaj,Comedy,Comedy
Hasil Adkins,Blues,Blues
Hatebreed,Alternative,Alternative
Haux,"Folk,Pop",Folk
Have A Nice Life,Jazz,Jazz
Have Mercy,Alternative,Alternative
Havelin,Folk,Folk
Hawk Nelson,Alternative,Alternative
Hawthorne Heights,Pop,Pop
Hayden Calnin,Folk,Folk
Hayden James,Pop,Pop
Haydn Trio Eisenstadt,Classical,Classical
Hayes Carll,Folk,Folk
Hayley Kiyoko,Pop,Pop
He Is We,Pop,Pop
Healy,Hip-Hop,Hip-Hop
Heart,Pop,Pop
Heartless Bastards,Blues,Blues
Hearts & Colors,Pop,Pop
Heather Headley,R&B,R&B
Heatwave,Jazz,Jazz
Hector Berlioz,Classical,Classical
Heilung,Folk,Folk
Heinrich Ignaz Franz von Biber,Classical,Classical
Heinrich Marschner,Opera,Opera
