artist_name,genre_summary
Brenda Holloway,Blues 2
Brenda Russell,Jazz 1
Brennan Savage,Hip-Hop 3
Brent Faiyaz,"Alternative 9, R&B 11"
Bret Ernst,Comedy 11
Brett Dennen,Folk 3
Brian Blade & The Fellowship Band,Jazz 2
Brian Bromberg,Jazz 3
Brian Culbertson,Jazz 17
Brian Fallon,Folk 2
Brian McKnight,R&B 3
Brian Posehn,Comedy 33
Brian Regan,Comedy 28
Brian Simpson,Jazz 9
Brian Tarquin,Jazz 2
Brian Tuey,Pop 1
Brick,Jazz 1
Brielle Lesley,R&B 1
Bright Eyes,"Folk 6, Pop 1"
Britney Spears,"Pop 8, R&B 26"
Britt Nicole,Alternative 2
Broadcast,Folk 1
Broken Bells,"Alternative 9, Folk 5, Pop 1"
Broken Social Scene,"Alternative 2, Folk 6"
Bronze Radio Return,"Folk 2, Pop 1"
Broods,Pop 1
Brook Benton,Blues 1
Brooke Annibale,Folk 1
Brother Ali,Hip-Hop 1
Brother Dege,Blues 2
Brothers Osborne,Pop 3
Brous One,Jazz 1
Brown Boy,Hip-Hop 1
Bruce Cockburn,Folk 1
Bruce Hornsby,Folk 3
Bruce Lamont,Jazz 1
Bruce Rowland,Classical 1
Bruno Major,"Pop 1, R&B 8"
Bruno Mars,Pop 8
Bryan Adams,Pop 3
Bryan Popin,R&B 1
Bryce Dessner,Classical 1
Bryce Fox,Alternative 5
Bryce Janey,Blues 1
Bryce Vine,Pop 2
Bryn Terfel,Opera 9
Bryson Tiller,"Hip-Hop 16, Pop 10, R&B 19"
Bubba Sparxxx,"Hip-Hop 2, Pop 1"
Buck Owens,Folk 3
Buckethead,Classical 7
Bud Powell,Jazz 2
Buddhadev DasGupta,Classical 1
Buddy,"Alternative 2, Hip-Hop 3, R&B 6"
Buddy Guy,Blues 19
Buddy Holly,Folk 3
Buddy Rich,Jazz 1
Buena Vista Social Club,Jazz 10
Buffalo Springfield,"Blues 9, Folk 2"
Bugseed,Jazz 9
Bugzy Malone,Hip-Hop 1
Building 429,Alternative 1
Built To Spill,"Alternative 2, Folk 5"
Bulbous Creation,Blues 1
Bullet For My Valentine,"Alternative 4, Pop 1"
Bun B,Hip-Hop 1
Bunbury,Alternative 2
Burl Ives,Folk 1
Burna Boy,Hip-Hop 1
Busdriver,Alternative 1
Bush,Alternative 3
Busta Rhymes,"Hip-Hop 1, Pop 1"
Buster Brown,Blues 1
Butcher Brown,Jazz 1
Buttering Trio,Jazz 1
Buzzcocks,Alternative 1
Byther Smith,Blues 1
BØRNS,Pop 1
Béla Bartók,Classical 8
Béla Fleck and the Flecktones,Jazz 2
C.S. Armstrong,R&B 1
C.W. Stoneking,Blues 3
CASIOPEA,Jazz 1
CHUNG HA,Pop 1
CLOVES,"Alternative 1, Pop 1"
CNCO,Pop 7
COASTCITY,R&B 1
COIN,Pop 3
COTIS,R&B 1
CVBZ,Pop 2
CYNE,Jazz 2
CZARFACE,"Alternative 1, Hip-Hop 2"
Ca$h Out,Hip-Hop 1
Caamp,Folk 9
Cab Calloway,"Blues 5, Jazz 2"
Cacophony,Classical 1
Cactus,Blues 1
Caesars,Alternative 1
Cafe Jazz Deluxe,Jazz 9
Café Tacvba,Alternative 3
Cage The Elephant,"Blues 35, Pop 3"
Caifanes,Alternative 3
Cain's Offering,Classical 2
Cake,"Alternative 4, Pop 2"
Caleborate,Hip-Hop 2
CalenRaps,Hip-Hop 1
Calexico,Folk 1
Caligula's Horse,Jazz 1
Calle 13,"Alternative 3, Hip-Hop 2"
Caloncho,Alternative 1
Calper,R&B 1
Calvin Boze,Blues 1
Calvin Harris,Pop 15
Cam Meekins,Hip-Hop 1
Camayenne Sofa,Jazz 1
Cameo,Jazz 1
Camera Obscura,Folk 1
Cameron Dallas,Pop 1
Camila Cabello,"Pop 4, R&B 10"
Camille Saint-Saëns,Classical 35
Camp Lo,"Hip-Hop 2, Jazz 3"
Camper Van Beethoven,Alternative 1
Cam’ron,"Hip-Hop 1, Pop 2"
Can 7,Jazz 1
Can't Swim,Alternative 2
Candice Boyd,R&B 1
Candlebox,"Alternative 2, Pop 1"
Candy Dulfer,Jazz 1
Canned Heat,"Blues 10, Folk 1"
Cannonball Adderley,"Blues 4, Jazz 6"
Cano Estremera,Jazz 1
Canserbero,Hip-Hop 2
Cantoma,Jazz 2
Canyon City,"Folk 15, Pop 1"
Capercaillie,Folk 1
Capital Cities,"Alternative 3, Pop 1"
Capstan,Alternative 1
Captain & Tennille,Folk 2
Captain Beyond,Blues 1
Car Bomb,Jazz 2
Car Seat Headrest,"Alternative 2, Folk 9"
Caravan Palace,Jazz 13
Cardi B,Pop 8
Caribou,"Alternative 1, Folk 2"
Carl Ditters von Dittersdorf,Classical 1
Carl Friedrich Abel,Classical 1
Carl Heinrich Graun,Opera 1
Carl Maria von Weber,Classical 6
Carl Millöcker,Opera 1
Carl Nielsen,Classical 5
Carl Orff,Classical 19
Carl Philipp Emanuel Bach,Classical 20
Carl Sims,Blues 1
Carl Stamitz,Classical 2
Carl Thomas,R&B 2
Carl Zeller,Opera 2
Carla Thomas,Blues 2
Carlo Bergonzi,Opera 4
Carlos Baute,Pop 1
Carlos Bonell,Classical 1
Carlos Gardel,Classical 1
Carlos Guastavino,Classical 1
Carlos Mencia,Comedy 14
Carlos Santana,Blues 3
Carlos Vives,Pop 3
Carly Pearce,Pop 2
Carly Rae Jepsen,Pop 3
Carly Simon,Folk 3
Carnage,"Hip-Hop 5, Pop 2"
Caro Campos,Comedy 1
Caro Emerald,Jazz 3
Carole King,"Folk 11, Pop 1"
Carolina Liar,Alternative 2
Caroline Rhea,Comedy 2
Caroline Shaw,Classical 3
Carolyn Wonderland,Blues 2
Carpenters,Folk 8
Carrie Underwood,Pop 8
Cartel De Santa,Hip-Hop 16
Cary Brothers,Folk 1
Cary Morin,Blues 1
Case,"Hip-Hop 2, Pop 1, R&B 2"
Cash Cash,Pop 1
Cashmere Cat,Pop 2
Casper Magico,Hip-Hop 3
Cass McCombs,"Alternative 2, Folk 6"
Cassadee Pope,Pop 1
Cassandra Wilson,Jazz 2
Cassidy,Hip-Hop 1
Cassie,"Pop 1, R&B 1"
Casting Crowns,Alternative 14
Cat Clyde,Folk 1
Cat Power,Folk 10
Catfish and the Bottlemen,Alternative 10
Catherine Russell,Jazz 3
Cautious Clay,"Alternative 5, R&B 6"
Cavetown,Pop 6
Cavo,Alternative 1
Caye,Hip-Hop 1
Cecilia Bartoli,Opera 1
Cedric Burnside,Blues 1
CeeLo Green,Hip-Hop 1
Celesty,Classical 1
Celia Cruz,Jazz 5
Celldweller,Alternative 1
Celso Piña,Alternative 1
Celtic Thunder,Folk 1
Chad Daniels,Comedy 27
Chad Kroeger,Alternative 1
Chad Lawson Trio,Jazz 1
Chairlift,Folk 1
Chamillionaire,Pop 1
Champion Jack Dupree,Blues 2
Chance the Rapper,"Hip-Hop 4, Pop 7"
Change,Jazz 2
Changing Faces,R&B 1
Changmo,R&B 1
Chantae Cann,R&B 1
Chaos In The CBD,Jazz 1
Charles Brown,Jazz 1
Charles Gounod,"Classical 1, Opera 74"
Charles Ives,Classical 2
Charles Lloyd & The Marvels,Jazz 1
Charles Mingus,Jazz 9
Charles Villiers Stanford,Classical 1
Charles Wright & The Watts 103rd Street Rhythm Band,Jazz 1
Charli XCX,"Pop 1, R&B 11"
Charlie Burg,R&B 5
Charlie Byrd,Jazz 1
Charlie Haden,Jazz 2
Charlie Hunter,Jazz 2
Charlie Musselwhite,Blues 1
Charlie Parker,Jazz 8
Charlie Parker Quintet,Jazz 1
Charlie Parr,"Blues 3, Folk 1"
Charlie Puth,Pop 12
Charlie Wilson,R&B 6
Charlotte Day Wilson,"Alternative 3, R&B 3"
Charlotte Dos Santos,"Jazz 4, R&B 2"
Charlotte Lawrence,Pop 3
Chase Atlantic,Pop 2
Chastity Belt,Folk 2
Chayín Rubio,Pop 1
Chaz Bundick Meets The Mattson 2,Folk 1
Che Ecru,R&B 3
Cheat Codes,Pop 4
Cheech & Chong,Comedy 11
Chelou,Alternative 1
Chelsea Cutler,Pop 2
Chelsea Wolfe,Folk 1
Cheo Feliciano,Jazz 1
Cher,Pop 3
Cher Lloyd,"Pop 2, R&B 6"
Cherish,"Hip-Hop 2, R&B 1"
Chet Baker,Jazz 18
Chevelle,Alternative 13
Chicago,Folk 9
Chicago Symphony Orchestra,Classical 2
Chick Corea,Jazz 4
Chick Corea Elektric Band,Jazz 1
Chicken Shack,Blues 1
Chico Hamilton,Jazz 1
Chief Keef,"Hip-Hop 12, Pop 1"
Childish Gambino,"Hip-Hop 20, Pop 2"
Childish Major,"Alternative 2, Hip-Hop 2, R&B 3"
China Anne McClain,Pop 1
Chinese Man,Jazz 2
Chingy,"Pop 1, R&B 1"
Chino & Nacho,Pop 1
Chip Taylor,Folk 1
Chis Chas,Comedy 3
Chloe Foy,Folk 2
Chloe Lilac,Pop 1
Chloe x Halle,"Alternative 6, R&B 8"
Choker,"Alternative 1, R&B 12"
Chord Overstreet,Pop 1
Chris August,Alternative 1
Chris Botti,Jazz 14
Chris Brown,"Pop 15, R&B 66"
Chris Cornell,Alternative 4
Chris Duarte,Blues 1
Chris Hardwick,Comedy 15
Chris Janson,Pop 1
Chris Jeday,Hip-Hop 1
Chris Knight,Alternative 1
Chris Lane,Pop 1
Chris Maddock,Comedy 3
Chris Rea,Blues 2
Chris Robinson Brotherhood,Blues 11
Chris Rock,Comedy 40
Chris Sails,R&B 1
Chris Smither,Blues 4
Chris Standring,Jazz 7
Chris Thile,Classical 11
Chris Tomlin,Alternative 12
Chris Webby,"Hip-Hop 8, Pop 1"
Chrisette Michele,R&B 2
Christian Finnegan,Comedy 26
Christian French,Pop 1
Christian Gerhaher,Opera 1
Christian Hudson,Folk 1
Christian Kuria,R&B 1
Christian Leave,Pop 1
Christian McBride,Jazz 2
Christian Rich,R&B 1
Christian Scott aTunde Adjuah,Jazz 8
Christina Aguilera,"Pop 6, R&B 17"
Christina Milian,R&B 1
Christina Perri,Pop 2
Christina Pluhar,Opera 9
Christon Gray,Hip-Hop 1
Christoph Willibald Gluck,Classical 7
Christophe Rousset,Opera 22
Christopher Blake,Classical 3
Christopher Cross,Folk 3
Christopher Titus,Comedy 45
Christopher Wilde,Pop 2
Chromatics,Alternative 1
Chromeo,Alternative 3
Chucho Valdés,Jazz 1
Chuck Berry,"Blues 25, Folk 4"
Chuck Jackson,Blues 1
Chuck Johnson,Folk 1
Chuck Loeb,Jazz 10
Chuck Mangione,Jazz 3
Chuck Prophet,Alternative 1
Chuck Wicks,Pop 1
Chuck Willis,Blues 1
Chuuwee,Hip-Hop 1
Ciara,"Hip-Hop 11, Pop 4, R&B 10"
Ciaran Lavery,Folk 3
Cigarettes After Sex,Pop 2
Cimorelli,Pop 1
Cindy Bradley,Jazz 5
Citizen,Alternative 6
Citizen Way,Alternative 1
City Girls,"Pop 4, R&B 12"
City Harbor,Alternative 1
City Morgue,Hip-Hop 3
City Your City,R&B 1
City and Colour,Folk 28
Clairo,Pop 2
Clap Your Hands Say Yeah,Alternative 1
Clap! Clap!,Jazz 1
"Clarence ""Frogman"" Henry",Blues 3
Clarence Carter,Blues 3
Clarence Clarity,Folk 1
Classics IV,Folk 2
Claude Debussy,Classical 72
Claude Nougaro,Jazz 1
Claudio Arrau,Classical 1
Claudio Monteverdi,Classical 2
Clean Bandit,Pop 4
Cleo Sol,Alternative 1
Clifford Brown,Jazz 3
Climax Blues Band,Blues 1
Clipse,"Alternative 1, Hip-Hop 1"
Club des Belugas,Jazz 1
Clutch,"Alternative 1, Blues 26"
Clyde McPhatter,Blues 1
Coal Chamber,Alternative 1
Coast Modern,Pop 1
Coasts,Folk 2
Cobra Skulls,Folk 1
Cobra Starship,Pop 1
Coby,Folk 1
Coco Celis,Comedy 2
Coco Montoya,Blues 2
CocoRosie,Folk 1
Coda,Alternative 1
Code Kunst,R&B 1
Cody Simpson,Pop 1
Coheed and Cambria,"Alternative 17, Pop 1"
Col3trane,"Alternative 5, R&B 6"
Colbie Caillat,"Folk 11, Pop 3"
Cold,Alternative 1
Cold War Kids,Folk 6
Colde,R&B 2
Coldplay,Pop 6
Coleman Hawkins,Jazz 6
Coleman Hell,Pop 1
Colette Lush,R&B 1
Colin James,Blues 3
Colin Matthews,Classical 1
Colin Stetson,Jazz 1
Collard,R&B 1
Collective Efforts,Jazz 1
Collective Soul,Alternative 5
Colleen,Jazz 1
Collin Moulton,Comedy 1
Colony House,Pop 1
Colouring,Folk 1
Colton Dixon,Alternative 2
Comedian Bob Marley,Comedy 55
Comethazine,Hip-Hop 13
Common,"Alternative 4, Hip-Hop 5"
Common Rider,Folk 1
Compay Segundo,Jazz 3
Compulsive Gamblers,Blues 1
Con Funk Shun,Jazz 1
Conan Gray,Pop 4
Conlon Nancarrow,Classical 1
Connan Mockasin,Folk 1
Connie Converse,Folk 1
Conrado del Campo,Classical 1
Control Machete,"Alternative 1, Hip-Hop 1"
Cookin Soul,Hip-Hop 2
Cool Company,"Alternative 1, R&B 3"
Cooliecut,Hip-Hop 1
Coolio,Hip-Hop 1
Corbin,Hip-Hop 1
Corey Harper,Folk 5
Corey Kilgannon,"Folk 5, Pop 1"
Corey Stevens,Blues 1
Corinne Bailey Rae,"Folk 3, R&B 3"
Cormega,Hip-Hop 1
Cornelio Vega y su Dinastia,Pop 1
Cortex,Jazz 2
CoryaYo,Jazz 2
Cosculluela,Hip-Hop 2
Cosmo Pyke,R&B 1
Cotton Jones,Folk 1
Count Basic,Jazz 1
Count Basie,Jazz 14
Counting Crows,"Alternative 9, Pop 1"
Country Joe & The Fish,Blues 1
Courtney Barnett,Folk 8
Courtney Marie Andrews,Folk 1
Courtney Pine,Jazz 1
Cousin Stizz,Hip-Hop 2
Cowboy Junkies,Folk 1
Cowboy Mouth,Alternative 1
Cozz,Hip-Hop 1
Cracker,Alternative 1
Craig Campbell,Pop 1
Craig David,R&B 3
Craig Ferguson,Comedy 10
Craig Mack,Hip-Hop 2
Craig Shoemaker,Comedy 1
Crash Test Dummies,Pop 1
Crazy P,Jazz 6
Cream,"Blues 8, Folk 4"
Creed,"Alternative 8, Pop 1"
Creek Boyz,Hip-Hop 1
Crime Mob,Hip-Hop 1
Cris Delanno,Jazz 1
Croosh,Hip-Hop 1
"Crosby, Stills & Nash","Blues 15, Folk 9"
"Crosby, Stills, Nash & Young","Blues 20, Folk 8"
Crossfade,Alternative 4
Crowder,Alternative 6
Crush,R&B 4
Crying Day Care Choir,Folk 1
Crywank,Folk 2
Cuban Doll,R&B 3
Cuca,Alternative 1
Cuco,Pop 6
Cult To Follow,Alternative 1
Cults,Alternative 1
Cultura Profética,Alternative 4
Culture Abuse,Alternative 2
Curley Weaver,Blues 1
Curlybamm,R&B 1
Curren$y,"Alternative 6, Hip-Hop 7"
Cursive,Folk 1
Curtis Salgado,Blues 2
Cut Worms,Folk 1
Cyberbully Mom Club,Folk 3
Cymande,Jazz 5
Cyndi Lauper,Pop 1
Cypress Hill,Hip-Hop 5
Cyril Scott,Classical 1
Cyrille Aimee,Jazz 1
Cæcilie Norby,Jazz 1
Cécile McLorin Salvant,Jazz 2
Céline Dion,Pop 4
César Franck,Classical 17
D Savage,Hip-Hop 1
D'Angelo,"Alternative 5, Hip-Hop 1, R&B 13"
D.A.R.,Comedy 1
D.L. Hughley,Comedy 17
D12,"Hip-Hop 5, Pop 1"
DAMIAN,Alternative 1
DAVE STONE,Comedy 1
DAY26,R&B 2
DC Talk,Alternative 1
DEAN,"Pop 4, R&B 6"
DIIV,Alternative 1
DJ Drama,Hip-Hop 1
DJ Esco,"Hip-Hop 2, Pop 1"
DJ Ezasscul,Jazz 1
DJ Food,Jazz 1
DJ Grumble,Jazz 2
DJ Harrison,Jazz 2
DJ Jazzy Jeff,Jazz 3
DJ Jazzy Jeff & The Fresh Prince,Hip-Hop 1
DJ Khaled,"Hip-Hop 13, Pop 5, R&B 18"
DJ Kool,Hip-Hop 1
DJ Krush,Jazz 1
DJ Mitsu The Beats,Jazz 2
DJ Nelson,Hip-Hop 1
DJ Premier,Hip-Hop 1
DJ Shadow,Hip-Hop 1
DJ Snake,Pop 4
DJ Vadim,Jazz 1
DMEANOR,R&B 1
DMX,"Hip-Hop 5, Pop 1"
DNCE,Pop 5
DON BROCO,Alternative 2
DOWN,Alternative 1
DPR LIVE,"Pop 2, R&B 8"
DRAM,Pop 1
DRAMA,"Alternative 4, R&B 7"
DREAMERS,Alternative 5
DRWN.,Jazz 5
DVBBS,Pop 1
DWY,R&B 1
Da Brat,R&B 1
DaBaby,Hip-Hop 18
DaVido,Hip-Hop 2
Daddy Yankee,"Hip-Hop 20, Pop 6"
Dae Dae,Hip-Hop 2
Dame Joan Sutherland,"Classical 1, Opera 10"
Damien Jurado,Folk 5
Damien Rice,"Folk 8, Pop 1"
Damon Fowler,Blues 2
Damu The Fudgemunk,Jazz 7
Dan Auerbach,"Blues 11, Folk 6"
Dan Black,Alternative 1
Dan Caplen,R&B 2
Dan Cray Trio,Jazz 1
Dan Cummins,Comedy 26
Dan Fogelberg,Folk 2
Dan Owen,Folk 3
Dan St. Paul,Comedy 1
Dan Talevski,Pop 1
Dan Telfer,Comedy 2
Dana Gould,Comedy 24
Dana Lauren,Jazz 1
Dane Cook,Comedy 37
Danger Doom,"Alternative 3, Hip-Hop 2"
Danger Incorporated,Hip-Hop 4
Danheim,Folk 2
Dani Wilde,Blues 2
DaniLeigh,"Alternative 5, Pop 2, R&B 11"
Daniel Auber,Opera 3
Daniel Barenboim,Classical 15
Daniel Caesar,"Pop 3, R&B 10"
Daniel Johnston,Folk 2
Daniel Munoz,R&B 1
Daniel Tosh,Comedy 9
Danielle Bradbery,Pop 2
Danielle Nicole,Blues 1
Danity Kane,"Pop 1, R&B 2"
Danny Bhoy,Comedy 3
Danny Brown,Hip-Hop 2
Danny Ocean,"Hip-Hop 5, Pop 2"
Danzig,Alternative 3
Daníel Bjarnason,Classical 1
Dara O Briain,Comedy 1
Darius Milhaud,Classical 1
Darius Rucker,Pop 4
Dark new Day,Alternative 1
Darlingside,"Folk 5, Pop 1"
Daron Malakian and Scars On Broadway,Alternative 1
Darrell Scott,Folk 1
Darren Rahn,Jazz 1
Darryl Lenox,Comedy 5
Darryl Williams,Jazz 1
Darshan Raval,Hip-Hop 2
Daryl Hall & John Oates,Folk 5
Das EFX,Hip-Hop 1
Daughter,"Folk 14, Pop 2"
Daughtry,"Alternative 7, Pop 1"
Dave,Hip-Hop 1
Dave Attell,Comedy 11
Dave B.,"Alternative 3, Hip-Hop 1, R&B 1"
Dave Bixby,Folk 1
Dave Brubeck,"Classical 16, Jazz 7"
Dave East,Hip-Hop 7
Dave Edmunds,Blues 3
Dave Grohl,Alternative 1
Dave Hole,Blues 1
Dave Holland Quartet,Jazz 1
Dave Koz,Jazz 8
Dave Mason,Blues 3
Dave Matthews Band,Pop 3
Dave Meniketti,Blues 1
Dave Rawlings Machine,"Alternative 1, Folk 3"
Dave Van Ronk,"Blues 3, Folk 2"
Daveed Diggs,Hip-Hop 1
David Banner,Hip-Hop 1
David Benoit,Jazz 3
David Bisbal,Pop 2
David Crosby,Folk 1
David Cross,Comedy 16
David Crowder Band,Alternative 2
David Garfield,Jazz 1
David Gompper,Classical 1
David Gray,Folk 7
David Guetta,Pop 10
David Landau,Folk 1
David Lang,Classical 5
David Lee Roth,Classical 5
David Lynch,Jazz 1
David Maslanka,Classical 3
David Nail,Pop 1
David Sanborn,Jazz 3
David Spade,Comedy 5
David T. Walker,"Blues 1, Jazz 1"
Davy Graham,Folk 1
Dawes,"Alternative 4, Folk 9, Pop 1"
Dawn Landes,Folk 2
Dawn Richard,R&B 1
Dawn Upshaw,Opera 2
Day6,Pop 1
Daya,Pop 2
Days N Daze,Folk 6
Days Of Jupiter,Alternative 1
Days Of The New,Alternative 2
De La Ghetto,Hip-Hop 5
De La Soul,"Alternative 1, Hip-Hop 2, Jazz 2"
De-Phazz,Jazz 2
DeBarge,R&B 1
DeJ Loaf,"Hip-Hop 4, R&B 13"
DeVotchKa,Folk 1
Dead Man Winter,Alternative 1
Dead Meadow,Blues 1
Dead Moon,Blues 2
Dead Or Alive,Pop 1
Dead Prez,Hip-Hop 1
Dead by April,Alternative 2
Deaf Center,Jazz 1
Dean Lewis,Pop 6
Dean Martin,Jazz 37
Deap Vally,Blues 4
Death Cab for Cutie,"Folk 26, Pop 3"
Death From Above 1979,"Alternative 2, Blues 13"
Death Grips,"Alternative 3, Hip-Hop 5"
Deaton Chris Anthony,R&B 1
Deca,Jazz 6
Declan J Donovan,Folk 2
Decyfer Down,Alternative 1
Dee Dee Bridgewater,"Blues 1, Jazz 1"
Dee Dee Sharp,Blues 1
Deeb,Jazz 3
Deem Spencer,R&B 1
Deep Purple,Blues 13
Deepfield,Alternative 1
Deer Tick,"Alternative 1, Folk 2"
Deerhunter,"Alternative 4, Folk 6"
Default,Pop 1
Deftones,Alternative 17
Del Shannon,Folk 1
Del The Funky Homosapien,"Alternative 3, Hip-Hop 2"
Dela,Jazz 2
Delbert McClinton,Blues 10
Delicatessen,Jazz 1
Delta Rae,Folk 5
Deltron 3030,Alternative 2
Dem Franchize Boyz,Hip-Hop 1
Demetri Martin,Comedy 15
Demi Lovato,"Pop 10, R&B 38"
Demon Hunter,Alternative 2
Denis Leary,Comedy 6
Denis Solee,Jazz 2
Dennis Lloyd,Pop 1
Dennis Miller,Comedy 13
Denzel Curry,"Hip-Hop 17, Pop 1"
Deodato,Jazz 1
Deorro,Pop 1
Derek & The Dominos,"Blues 11, Folk 2"
Derez De’Shon,R&B 16
Dermot Kennedy,Folk 11
Des Rocs,"Alternative 4, Blues 5"
Des'ree,Pop 1
Desiigner,Hip-Hop 3
Desmond Cheese,Jazz 5
Dessa,"Folk 1, Hip-Hop 1"
Destiny's Child,"Pop 3, R&B 11"
Destroyer,"Alternative 1, Folk 2"
Devaloop,Jazz 2
Devendra Banhart,Folk 6
Device,Alternative 1
DevilDriver,Alternative 1
Devin Dawson,Pop 1
Devin Townsend,Jazz 3
Devin Townsend Project,"Alternative 1, Jazz 6"
Devvon Terrell,"Hip-Hop 2, R&B 4"
Dexter Gordon,Jazz 6
Dexter Wansel,Jazz 1
Dexys Midnight Runners,Pop 1
Diamond D,"Alternative 1, Hip-Hop 1"
Diana Gordon,"Alternative 1, R&B 1"
Diana Krall,Jazz 20
Dibia$E,Hip-Hop 1
Diddy,"Hip-Hop 4, Pop 3, R&B 5"
Diddy - Dirty Money,"Pop 1, R&B 1"
Dido,Folk 6
Die Antwoord,"Alternative 8, Hip-Hop 4"
Diet Cig,Folk 3
Dietrich Buxtehude,Classical 1
Dietrich Fischer-Dieskau,"Classical 1, Opera 23"
Digable Planets,Jazz 6
Diggy,R&B 2
Digital Underground,Hip-Hop 2
Dijon,"Alternative 1, R&B 5"
Dilated Peoples,Alternative 2
Dillon Francis,Pop 3
Dimie Cat,Jazz 1
Dinah Jane,Pop 1
Dinah Shore,Jazz 1
Dinah Washington,"Blues 7, Jazz 7"
Dinner Jazz Orchestra,Jazz 4
Dinosaur Pile-Up,Alternative 1
Dion,Pop 1
Dion & The Belmonts,Blues 7
Dionysus,Classical 1
Diplo,Pop 4
Dirtwire,Alternative 1
Dirty Honkers,Jazz 1
Dirty Projectors,Folk 1
Disciple,Alternative 1
Disclosure,Pop 2
Dispatch,Pop 1
Disturbed,Alternative 27
Divinyls,Alternative 1
Dixie Chicks,Pop 2
Dixie Dregs,Jazz 1
Dizzy Gillespie,Jazz 7
Dizzy Wright,Hip-Hop 9
Django Reinhardt,Jazz 21
Dmitri Hvorostovsky,Opera 12
Dmitri Shostakovich,Classical 18
Doc Watson,Folk 2
Doja Cat,"Alternative 6, Pop 2, R&B 11"
Dojo Cuts,Jazz 2
Dollar Signs,Folk 1
Dom Kennedy,Hip-Hop 3
Domenico Scarlatti,Classical 10
Dominic Fike,"Alternative 3, Pop 1"
Dominic Miller,Jazz 1
Domo Genesis,"Alternative 2, Hip-Hop 2"
Domo Wilson,R&B 3
Don Cherry,Jazz 1
Don Diablo,Pop 1
Don Henley,"Folk 4, Pop 2"
Don McLean,Folk 1
Don Omar,"Hip-Hop 9, Pop 4"
Don Philippe,Jazz 1
Don Rickles,Comedy 3
Don Toliver,Hip-Hop 1
Donald Byrd,Jazz 5
Donald Fagen,Jazz 1
Donald Glover,Comedy 2
Donell Jones,"Hip-Hop 2, R&B 4"
Donnell Rawlings,Comedy 7
Donnie Ray,Blues 1
Donnie Trumpet & The Social Experiment,Pop 1
Donny Hathaway,"Jazz 6, R&B 3"
Donovan,Folk 3
Donovan Woods,Folk 2
Dope,Alternative 2
Doris Day,Jazz 5
Dorothy,Blues 10
Dorothy Ashby,Jazz 8
Doug Benson,Comedy 46
Doug Stanhope,Comedy 32
Dounia,"Alternative 1, R&B 11"
Dov Davidoff,Comedy 3
Dove Cameron,Pop 1
Down To The Bone,Jazz 1
Downplay,Alternative 1
Downstait,Alternative 1
Doyle Bramhall II,Blues 2
Dr. Dog,"Alternative 4, Folk 24, Pop 1"
Dr. Dre,"Hip-Hop 3, Pop 4"
Dr. Feelgood,Blues 1
Dr. Hook,Folk 2
Dr. John,"Blues 28, Folk 3, Jazz 3"
Dr. Lonnie Smith,Jazz 2
DragonForce,Classical 33
Dragony,Classical 2
Drake,"Hip-Hop 59, Pop 58"
Drake Bell,Pop 1
Dramadigs,Jazz 1
Drax Project,Pop 1
Dread Mar I,Alternative 4
Dream Evil,Classical 4
Dreezy,"Pop 3, R&B 7"
Drew Holcomb & The Neighbors,Folk 5
Drips Zacheer,Jazz 1
Drive-By Truckers,Folk 2
Drowning Pool,Alternative 1
Dru Hill,"Hip-Hop 4, R&B 5"
Drugdealer,Folk 2
Drumma Battalion,Hip-Hop 1
Dry the River,Folk 1
DuRu Tha King,Hip-Hop 1
Dua Lipa,Pop 5
Duane Allman,Blues 1
Duane Andrews,Jazz 1
Duane Eddy,Blues 1
Duckwrth,"Alternative 4, Hip-Hop 2, R&B 2"
Duffy,Pop 1
Duke Dumont,Pop 1
Duke Ellington,Jazz 20
Duke Robillard,Blues 1
Duki,Hip-Hop 2
Duran Duran,Pop 1
Dust,Blues 1
Dustin Tebbutt,Folk 5
Dusty Springfield,Folk 2
Dwele,R&B 2
Dylan Schneider,Pop 2
Dynamic Duo,R&B 2
Dzihan & Kamien,Jazz 2
E-40,Hip-Hop 3
EARTHGANG,"Hip-Hop 4, Pop 1"
EDEN,"Pop 4, R&B 1"
ELHAE,"Alternative 2, R&B 9"
ELO,R&B 1
EXID,Pop 2
EXO,Pop 6
EXO-K,Pop 1
EZI,Pop 1
Eagles,Folk 20
Eagles Of Death Metal,"Alternative 1, Blues 21"
Earl Hooker,Blues 2
Earl King,Blues 2
Earl Klugh,Jazz 5
Earl Sweatshirt,"Alternative 16, Hip-Hop 19, Pop 3"
Earshot,Alternative 1
Earth,Jazz 1
"Earth, Wind & Fire",Jazz 15
Eartha Kitt,Jazz 5
Easy Life,Alternative 1
Eazy-E,"Hip-Hop 1, Pop 1"
Eberhard Weber,Jazz 1
Ebo Taylor,Jazz 2
Echo & the Bunnymen,Alternative 2
Echosmith,Pop 3
Ed Prosek,Folk 1
Ed Sheeran,Pop 20
Ed Thigpen,Jazz 1
Eddie Berman,Folk 2
Eddie Boyd,Blues 1
Eddie Floyd,Blues 2
Eddie Griffin,Comedy 24
Eddie Izzard,Comedy 51
Eddie Kendricks,Jazz 3
Eddie Money,Folk 5
Eddie Murphy,Comedy 18
Eddie Palmieri,Jazz 3
Eddie Taylor,Blues 1
Edguy,Classical 3
Edie Brickell & New Bohemians,Folk 1
Edita Gruberova,Opera 1
Editors,Alternative 1
Edmund Welles,Classical 1
